cve_ent,cve_mun,pob_mun,CVEGEO,pob_rural,pob_total,pct_rural,n_estab_4671,empleo_aprox_4671,actividades,dens_estab_10k,dens_empleo_10k,IM_2020,area_km2
3,2,64022,3002,21338,65308,0.326728732,49,155.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos | Comercio al por menor de pintura | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de artículos para la limpieza,7.653619068,24.28852582,57.49256731,30586.59205
3,3,292241,3003,21395,295028,0.072518541,381,1919,Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de vidrios y espejos | Comercio al por menor de pintura | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,13.03718506,65.66498198,59.8532531,15279.28515
3,8,351111,3008,12132,352686,0.03439887,463,2720,Comercio al por menor de vidrios y espejos | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,13.18671303,77.46837895,58.73572701,3517.574801
3,9,18052,3009,1741,18432,0.094455295,21,99.5,Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de pintura | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos,11.63306005,55.11854642,58.8193123,4491.059934
4,0,928363,4000,0,7376,0,0,0,NA,0,0,NA,NA
4,1,59232,4001,13661,59376,0.230076125,37,145,Comercio al por menor de vidrios y espejos | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas | Comercio al por menor de artículos para la limpieza | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura | Comercio al por menor de pisos y recubrimientos cerámicos,6.246623447,24.4800108,55.38128192,1716.690226
4,2,294077,4002,26519,294828,0.089947359,280,1348.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de pisos y recubrimientos cerámicos,9.521315846,45.85533721,58.64070104,3217.077983
4,3,248845,4003,29659,251232,0.118054229,299,1305,Comercio al por menor de artículos para la limpieza | Comercio al por menor de vidrios y espejos | Comercio al por menor de pintura | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,12.01551166,52.44228335,58.09508328,8542.602777
4,4,78170,4004,29324,78797,0.372146148,84,261,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos | Comercio al por menor de pintura | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de artículos para albercas y otros artículos,10.74581041,33.38876807,54.83259891,6539.399523
4,5,31917,4005,10891,31966,0.34070575,17,66,Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para la limpieza | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura,5.32631513,20.67863521,55.68600466,1265.514509
4,6,42140,4006,26288,42285,0.621686177,18,63,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura,4.271476032,14.95016611,53.60265142,7734.005067
4,7,8683,4007,5198,9046,0.574618616,6,15,Comercio al por menor de pintura | Comercio al por menor de artículos para la limpieza | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos,6.910054129,17.27513532,52.76030203,2181.411396
4,8,11452,4008,2704,11494,0.235253176,12,30,Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos,10.47851904,26.19629759,55.18200785,1050.953181
4,9,59923,4009,24585,60663,0.405271747,78,247.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de pintura | Comercio al por menor de vidrios y espejos,13.01670477,41.30300552,54.89029564,4766.831549
4,10,31714,4010,25985,32105,0.809375487,18,50.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura | Comercio al por menor de vidrios y espejos | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,5.675726808,15.92356688,50.70937161,13946.06575
4,11,46913,4011,35792,48603,0.736415448,24,78,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de vidrios y espejos | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas | Comercio al por menor de pintura | Comercio al por menor de artículos para la limpieza,5.115852749,16.62652143,50.51393634,5657.999712
4,12,15297,4012,1170,15344,0.076251303,15,48.5,Comercio al por menor de artículos para la limpieza | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de vidrios y espejos,9.805844283,31.70556318,55.87833198,287.8818811
5,0,3146771,5000,0,11541,0,0,0,NA,0,0,NA,NA
5,1,1022,5001,1022,1069,0.956033676,1,2.5,Comercio al por menor en ferreterías y tlapalerías,9.784735812,24.46183953,57.82014772,737.9565461
5,2,163058,5002,2833,163496,0.017327641,129,597.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura | Comercio al por menor de vidrios y espejos | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de artículos para albercas y otros artículos,7.911295367,36.64340296,58.48171229,11461.26918
5,3,23056,5003,1680,23163,0.072529465,17,48,Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de pintura | Comercio al por menor de artículos para la limpieza | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos,7.373351839,20.81887578,59.793829,250.6253119
5,4,29578,5004,11468,30778,0.372603808,20,84.5,Comercio al por menor de artículos para la limpieza | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas | Comercio al por menor de vidrios y espejos,6.761782406,28.56853066,58.04498696,1619.153127
5,5,1643,5005,1643,1653,0.993950393,1,2.5,Comercio al por menor en ferreterías y tlapalerías,6.086427267,15.21606817,55.91949173,2102.816512
5,6,29128,5006,1814,29293,0.061926057,29,112.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura | Comercio al por menor de vidrios y espejos,9.956056029,38.62263115,59.31062396,3316.091647
5,7,12715,5007,2320,12906,0.179761351,13,38,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura,10.22414471,29.88596146,57.22051435,10588.64956
5,8,3047,5008,3047,3085,0.987682334,0,0,NA,0,0,56.44349392,1018.163455
5,9,59035,5009,23552,59269,0.397374682,56,185.5,Comercio al por menor de artículos para la limpieza | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de pintura | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de vidrios y espejos,9.485898196,31.42203777,57.82467348,2786.113608
5,10,82409,5010,4578,82485,0.055501,92,304.5,Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de pintura | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para la limpieza,11.16382919,36.94984771,60.08427096,454.0912488
5,11,11898,5011,6363,12186,0.522156573,5,36,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de vidrios y espejos,4.202386956,30.25718608,57.12100159,2615.303417
5,12,1643,5012,1643,1868,0.879550321,0,0,NA,0,0,55.6679088,2913.403627
5,13,1735,5013,1735,1787,0.970900951,2,5,Comercio al por menor en ferreterías y tlapalerías,11.52737752,28.8184438,56.07160908,1123.853296
5,14,9502,5014,6199,9933,0.624081345,2,5,Comercio al por menor en ferreterías y tlapalerías,2.104820038,5.262050095,55.40321239,2197.065712
5,15,1584,5015,1584,1667,0.950209958,2,5,Comercio al por menor en ferreterías y tlapalerías,12.62626263,31.56565657,56.67700261,2444.037961
5,16,1764,5016,1764,1785,0.988235294,4,10,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza,22.67573696,56.6893424,57.32618556,668.7009129
5,17,118337,5017,41051,119112,0.344642018,92,304.5,Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de vidrios y espejos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas | Comercio al por menor de pintura | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pisos y recubrimientos cerámicos,7.77440699,25.73159705,58.18040041,798.2710139
5,18,237951,5018,782,238211,0.003282804,307,1350,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,12.90181592,56.73436968,60.47683006,1242.170866
5,19,7928,5019,1208,8082,0.149467953,10,36,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de vidrios y espejos,12.6135217,45.4086781,59.4673507,636.6604774
5,20,71627,5020,4380,72141,0.060714434,39,148.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de pintura | Comercio al por menor de artículos para la limpieza | Comercio al por menor de vidrios y espejos,5.44487414,20.73240538,58.90496136,8258.300938
5,21,6539,5021,2013,6627,0.303757356,6,15,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza,9.175714941,22.93928735,57.75279376,711.7375789
5,22,33129,5022,916,33364,0.027454742,20,72,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas | Comercio al por menor de vidrios y espejos,6.037006852,21.73322467,58.95548212,904.856155
5,23,9642,5023,5991,9850,0.60822335,9,22.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza,9.334163037,23.33540759,55.12789598,25898.8648
5,24,44472,5024,9674,44782,0.216024295,29,101.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de pintura | Comercio al por menor de vidrios y espejos,6.520957007,22.82334952,57.94772979,10517.78111
5,25,176327,5025,2368,177451,0.013344529,121,930,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura | Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,6.862250251,52.74291515,59.27275589,473.2432706
5,26,3239,5026,3239,3284,0.986297199,0,0,NA,0,0,56.46383023,2868.304769
5,27,122243,5027,8233,123816,0.06649383,105,424,Comercio al por menor de vidrios y espejos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura | Comercio al por menor de pisos y recubrimientos cerámicos,8.589448885,34.68501264,60.16500884,6692.502748
5,28,64811,5028,2168,64980,0.033364112,63,471.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura | Comercio al por menor de vidrios y espejos | Comercio al por menor de pisos y recubrimientos cerámicos,9.720572125,72.74999614,59.75115203,1966.329286
5,29,2471,5029,2471,2505,0.986427146,3,7.5,Comercio al por menor en ferreterías y tlapalerías,12.14083367,30.35208418,57.44330736,287.2283102
5,30,879958,5030,15527,880601,0.017632276,752,3547,Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de artículos para la limpieza | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos | Comercio al por menor de pintura | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas | Comercio al por menor de pisos y recubrimientos cerámicos,8.545862416,40.30874201,60.73750406,5562.305168
5,31,24759,5031,1346,24989,0.0538637,36,112,Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura | Comercio al por menor de vidrios y espejos,14.54016721,45.23607577,59.96137059,6409.457546
5,32,42260,5032,3202,42405,0.075509963,37,175.5,Comercio al por menor de pintura | Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para la limpieza | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pisos y recubrimientos cerámicos,8.755324184,41.52863228,59.75798866,798.6696707
5,33,101041,5033,40871,101622,0.402186534,65,219,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de vidrios y espejos,6.433032135,21.67436981,57.05940654,7080.248248
5,34,6744,5034,2171,6904,0.314455388,2,5,Comercio al por menor en ferreterías y tlapalerías,2.965599051,7.413997628,57.90453745,7873.537951
5,35,720848,5035,22355,720927,0.031008687,891,4935,Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de vidrios y espejos | Comercio al por menor de pintura | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,12.36044215,68.46103478,60.28842072,1269.844253
5,36,20305,5036,16783,20416,0.822051332,4,10,Comercio al por menor en ferreterías y tlapalerías,1.969958138,4.924895346,54.85882923,4357.684067
5,37,6188,5037,745,6303,0.118197684,5,12.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos,8.080155139,20.20038785,58.33770082,1846.080356
5,38,13135,5038,1985,13517,0.146852112,17,66,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura | Comercio al por menor de vidrios y espejos,12.94251998,50.24743053,57.76823328,7919.849299
6,0,731391,6000,0,3775,0,0,0,NA,0,0,NA,NA
6,1,27626,6001,5867,27832,0.210800517,24,78,Comercio al por menor de vidrios y espejos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura,8.687468327,28.23427206,56.40592374,417.3010364
6,2,157048,6002,10083,157482,0.064026365,243,1281,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de pintura | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,15.47297641,81.56741888,59.77117554,741.7185376
6,3,21661,6003,7176,21925,0.327297605,15,37.5,Comercio al por menor de artículos para la limpieza | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura,6.924888048,17.31222012,57.1625072,312.203959
6,4,20837,6004,5945,21096,0.281806978,13,38,Comercio al por menor de pintura | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de vidrios y espejos,6.238901953,18.23679032,57.12519163,497.3053047
6,5,31267,6005,8262,31473,0.262510723,30,91.5,Comercio al por menor de vidrios y espejos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura,9.594780439,29.26408034,58.17007844,409.7374246
6,6,5623,6006,2638,5691,0.463538921,4,15.5,Comercio al por menor de vidrios y espejos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza,7.113640405,27.56535657,55.02897602,375.0146967
6,7,191031,6007,18872,191645,0.098473741,239,961.5,Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para la limpieza | Comercio al por menor de pintura | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,12.51105841,50.33214504,59.754741,1378.871281
6,8,10231,6008,4156,10291,0.403848023,4,10,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza,3.909686248,9.774215619,57.38053299,412.5410032
6,9,116305,6009,7427,117829,0.063032021,117,640,Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para la limpieza | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de pintura | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,10.05975667,55.02772882,57.19542163,923.546852
6,10,149762,6010,2266,149902,0.015116543,180,709.5,Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para la limpieza | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de materiales para la construcción en tiendas de autoservicio especializadas,12.01907026,47.3751686,60.51209222,285.8826028
7,0,5543828,7000,0,48028,0,0,0,NA,0,0,NA,NA
7,1,17994,7001,9902,18263,0.542189126,13,38,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura | Comercio al por menor de vidrios y espejos,7.224630432,21.11815049,53.29079047,250.2237606
7,2,21187,7002,6186,21474,0.288069293,15,43,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura | Comercio al por menor de vidrios y espejos,7.079813093,20.2954642,53.30094969,305.6898259
7,3,26899,7003,20652,27477,0.751610438,20,55.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura | Comercio al por menor de artículos para la limpieza | Comercio al por menor de vidrios y espejos,7.43522064,20.63273728,52.1499493,565.6701717
7,4,36160,7004,25542,36391,0.701876838,18,68.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza | Comercio al por menor de artículos para albercas y otros artículos | Comercio al por menor de vidrios y espejos,4.977876106,18.94358407,49.78406614,958.1847619
7,5,24512,7005,20185,24640,0.819196429,4,15.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de vidrios y espejos,1.631853786,6.32343342,48.75932508,316.0619312
7,6,31735,7006,25915,31762,0.815912096,7,23,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de artículos para la limpieza,2.205766504,7.247518513,52.22960123,255.6220142
7,7,11283,7007,5363,11293,0.474895953,4,10,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura,3.54515643,8.862891075,45.9819462,152.6776542
7,8,31947,7008,13262,32197,0.41190173,24,101.5,Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pintura | Comercio al por menor de artículos para la limpieza | Comercio al por menor de vidrios y espejos,7.512442483,31.77137133,51.54725808,585.0568585
7,9,41135,7009,12227,41854,0.292134563,54,240.5,Comercio al por menor de vidrios y espejos | Comercio al por menor de artículos para la limpieza | Comercio al por menor en ferreterías y tlapalerías | Comercio al por menor de pisos y recubrimientos cerámicos | Comercio al por menor de pintura,13.12750699,58.4660265,54.57933519,811.7606813
7,10,7365,7010,7365,7379,0.998102724,0,0,NA,0,0,49.77566979,79.38487338
7,11,20157,7011,20157,20205,0.99762435,5,12.5,Comercio al por menor en ferreterías y tlapalerías,2.480527856,6.201319641,51.50977904,215.394592
