estado,cve_ent,anio,inflacion_general,inflacion_construccion,crecimiento_salario,tasa_desocupacion
Nuevo León,19,2025,0.035173,-0.070224,0.078512,0.029272
Oaxaca,20,2025,0.042253,1.005609,0.078512,0.013850
Puebla,21,2025,0.035042,-0.535479,0.078512,0.022217
Querétaro,22,2025,0.039430,1.065520,0.078512,0.024646
Quintana Roo,23,2025,0.044877,10.534559,0.078512,0.025187
San Luis Potosí,24,2025,0.043319,0.318251,0.078512,0.029402
Sinaloa,25,2025,0.033502,166.800756,0.078512,0.022847
Sonora,26,2025,0.027401,1.207901,0.078512,0.031778
Tabasco,27,2025,0.031064,1.235566,0.078512,0.040010
Tamaulipas,28,2025,0.036264,-0.146467,0.078512,0.032175
Tlaxcala,29,2025,0.027900,17.563760,0.078512,0.029435
Veracruz,30,2025,0.041106,3.496697,0.078512,0.021009
Yucatán,31,2025,0.040745,0.905972,0.078512,0.017548
Zacatecas,32,2025,0.033150,-0.068044,0.078512,0.027088
